log_id,record_id,issue_type,action_applied,old_value,new_value,risk_level,user_decision
LOG-001,REC-001,inconsistent_state_values,Standardized state value,California,CA,Medium,Accepted
LOG-002,REC-002,improper_naming_format,Normalized account name formatting,ZENITH LABS,Zenith Labs,Low,Accepted
LOG-003,REC-002,inconsistent_state_values,Standardized state value,California,CA,Medium,Accepted
LOG-004,REC-002,missing_owner_fields,Flagged owner for assignment,Unknown,Unassigned - Review,High,Accepted
LOG-005,REC-003,invalid_email_formats,Corrected invalid email format,none@,sam.flores@alturasystems.com,Medium-High,Accepted
LOG-006,REC-005,improper_naming_format,Normalized account name formatting,OrbitIQ,Orbitiq,Low,Accepted
LOG-007,REC-006,improper_naming_format,Normalized account name formatting,CorePath,Corepath,Low,Accepted
LOG-008,REC-006,inconsistent_state_values,Standardized state value,Illinois,IL,Medium,Accepted
LOG-009,REC-007,improper_naming_format,Normalized account name formatting,SableWorks,Sableworks,Low,Accepted
LOG-010,REC-007,missing_segment_fields,Flagged segment for review,,Needs Review,Medium-High,Accepted
LOG-011,REC-007,invalid_email_formats,Corrected invalid email format,sam@,casey.patel@sableworks.com,Medium-High,Accepted
LOG-012,REC-008,improper_naming_format,Normalized account name formatting,BluePeak Retail,Bluepeak Retail,Low,Accepted
LOG-013,REC-008,inconsistent_state_values,Standardized state value,tex.,TX,Medium,Accepted
LOG-014,REC-008,missing_segment_fields,Flagged segment for review,unknown,Needs Review,Medium-High,Accepted
LOG-015,REC-009,improper_naming_format,Normalized account name formatting,SummitForge,Summitforge,Low,Accepted
LOG-016,REC-009,inconsistent_state_values,Standardized state value,Texas,TX,Medium,Accepted
LOG-017,REC-010,improper_naming_format,Normalized account name formatting,MeridianOps,Meridianops,Low,Accepted
LOG-018,REC-010,missing_segment_fields,Flagged segment for review,unknown,Needs Review,Medium-High,Accepted
LOG-019,REC-011,improper_naming_format,Normalized account name formatting,HarborCloud,Harborcloud,Low,Accepted
LOG-020,REC-011,missing_owner_fields,Flagged owner for assignment,Unknown,Unassigned - Review,High,Accepted
LOG-021,REC-012,improper_naming_format,Normalized account name formatting,LumenGrid,Lumengrid,Low,Accepted
LOG-022,REC-012,inconsistent_state_values,Standardized state value,New York,NY,Medium,Accepted
LOG-023,REC-013,inconsistent_state_values,Standardized state value,ill.,IL,Medium,Accepted
LOG-024,REC-014,improper_naming_format,Normalized account name formatting,EVERFIELD LOGISTICS,Everfield Logistics,Low,Accepted
LOG-025,REC-015,improper_naming_format,Normalized account name formatting,AsterPoint,Asterpoint,Low,Accepted
LOG-026,REC-016,improper_naming_format,Normalized account name formatting,MapleStone Capital,Maplestone Capital,Low,Accepted
LOG-027,REC-017,improper_naming_format,Normalized account name formatting,ClearSpring Media,Clearspring Media,Low,Accepted
LOG-028,REC-017,inconsistent_state_values,Standardized state value,New York,NY,Medium,Accepted
LOG-029,REC-017,invalid_email_formats,Corrected invalid email format,hello@northstarhealth,ava.martinez@clearspringmedia.com,Medium-High,Accepted
LOG-030,REC-020,improper_naming_format,Normalized account name formatting,BrightArc Education,Brightarc Education,Low,Accepted
LOG-031,REC-020,inconsistent_state_values,Standardized state value,Texas,TX,Medium,Accepted
LOG-032,REC-021,inconsistent_state_values,Standardized state value,n.y.,NY,Medium,Accepted
LOG-033,REC-021,missing_segment_fields,Flagged segment for review,unknown,Needs Review,Medium-High,Accepted
LOG-034,REC-021,invalid_email_formats,Corrected invalid email format,chris.wong#mail.com,chris.smith@nimbustelecom.com,Medium-High,Accepted
LOG-035,REC-022,inconsistent_state_values,Standardized state value,Illinois,IL,Medium,Accepted
LOG-036,REC-023,improper_naming_format,Normalized account name formatting,SilverOak Health,Silveroak Health,Low,Accepted
